Mix ID, Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (με) 7d,Drying shrinkage (με) 28d,Drying shrinkage (με) 90d,Drying shrinkage (με)120d,Creep (με) 28d,Creep (με) 90d,Creep (με) 150d,Abrasion (mm) 28 d,Reference
R7_50%RCA+40%slag+10%SF,228,182,1100,770,0,46,182,2.58,49.5,4.45,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R7_50%RCA+35%slag+15%SF,228,182,1100,770,0,68,159,2.8,58,4.9,-1,26.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R8_C9F1,674.4,187.4,1058.8,453.3,75,0,0,3.4,64,-1,-1,-1,900,-1,-1,397,470,-1,580,-1,-1,-1,-1,https://doi.org/10.1016/j.rineng.2023.101113
R8_C8F2,594.4,185.8,1049.4,449.3,148.6,0,0,3,65,-1,-1,-1,886,-1,-1,376,460,-1,550,-1,-1,-1,-1,
R8_C7F3,515.7,184.2,1040.5,445.5,221,0,0,2.3,62,-1,-1,-1,902,-1,-1,344,440,-1,500,-1,-1,-1,-1,
R8_C6F4,438.2,182.6,1031.4,441.6,292.1,0,0,2,58,-1,-1,-1,959,-1,-1,300,400,-1,455,-1,-1,-1,-1,
R8_C5F5,362,181,1022.4,437.7,362,0,0,1.8,44,-1,-1,-1,988,-1,-1,298,370,-1,415,-1,-1,-1,-1,
R9_S20F0M0,440,198,797.5,962.5,0,110,0,8.25,45.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.cscm.2023.e02395
R9_S20F10M0,385,198,797.5,962.5,55,110,0,8.25,46.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R10_SF6,470,175,1203,647,0,30,0,9.78,55.25,-1,-1,35.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/S0958-9465(03)00017-9
R10_SF10,450,175,1203,647,0,50,0,11.71,57.38,-1,-1,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R10_SF15,425,175,1203,647,0,75,0,13.34,59.5,-1,-1,38.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R11_SF5,426,153,1169,630,0,22,0,2.2,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.cemconcomp.2003.09.002
R11_SF10,449,142,1155,622,0,50,0,5,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R11_SF15,468,132,1136,612,0,83,0,8.3,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R11_SF20,478,121,1119,603,0,120,0,12,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R12_SF5-0.27,475,135,1050,725,0,25,0,43,75.225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.cemconres.2004.05.051
R12_SF10-0.27,450,135,1050,715,0,50,0,43,81.175,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R12_SF15-0.27,425,135,1050,715,0,75,0,43,85.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R12_SF5-0.3,475,150,1050,685,0,25,0,19,77.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R12_SF10-0.3,450,150,1050,680,0,50,0,19,80.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R12_SF15-0.3,425,150,1050,680,0,75,0,19,83.725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R12_SF5-0.33,475,165,1050,690,0,25,0,12,70.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R12_SF10-0.33,450,165,1050,685,0,50,0,12,76.075,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R12_SF15-0.33,425,165,1050,680,0,75,0,12,75.225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R13_W35SF6,441,164,1115,653,0,28,0,2.9,73.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.cemconcomp.2007.06.003
R13_W30SF6,465,149,1168,615,0,30,0,3.1,80.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R13_W30SF10,450,149,1168,615,0,45,0,3.7,84.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.26_2,494,135.2,1146,667,0,26,0,18.2,79.05,6.38,9.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.cemconres.2004.05.024
R14_w/cm ratio 0.26_3,468,135.2,1146,667,0,52,0,18.2,79.22,6.37,10.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.26_4,442,135.2,1146,667,0,78,0,18.2,80.92,6.65,11.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.26_5,416,135.2,1146,667,0,104,0,18.2,79.9,6.51,11.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.26_6,390,135.2,1146,667,0,130,0,18.2,74.8,5.75,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.3_2,484.5,153,1122.5,653,0,25.5,0,17.85,63.75,5.61,9.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.3_3,459,153,1122.5,653,0,51,0,17.85,67.15,6.05,9.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.3_4,433.5,153,1122.5,653,0,76.5,0,17.85,71.99,6.25,9.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.3_5,408,153,1122.5,653,0,102,0,17.85,74.38,6.24,10.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.3_6,382.5,153,1122.5,653,0,127.5,0,17.85,71.66,5.61,12.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.34_2,475,170,1100,640,0,25,0,17.5,55.08,5.61,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.34_3,450,170,1100,640,0,50,0,17.5,61.2,5.71,8.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.34_4,425,170,1100,640,0,75,0,17.5,64.01,5.75,9.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.34_5,400,170,1100,640,0,100,0,17.5,68.85,6.05,10.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.34_6,375,170,1100,640,0,125,0,17.5,66.98,5.85,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.38_2,465.5,186.2,1078,628,0,24.5,0,17.15,51,4.51,7.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.38_3,441,186.2,1078,628,0,49,0,17.15,56.1,5.17,7.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.38_4,416.5,186.2,1078,628,0,73.5,0,17.15,57.375,5.2,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.38_5,392,186.2,1078,628,0,98,0,17.15,58.65,5.21,9.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.38_6,367.5,186.2,1078,628,0,122.5,0,17.15,60.95,5.25,9.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.38_7,343,186.2,1078,628,0,147,0,17.15,57.8,4.85,7.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.42_2,456,201.6,1058,616,0,24,0,16.8,42.67,4.4,6.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.42_3,432,201.6,1058,616,0,48,0,16.8,48.88,4.45,6.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.42_4,408,201.6,1058,616,0,72,0,16.8,51,4.5,7.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.42_5,384,201.6,1058,616,0,96,0,16.8,53.13,4.54,7.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.42_6,360,201.6,1058,616,0,120,0,16.8,54.23,4.51,8.34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R14_w/cm ratio 0.42_7,336,201.6,1058,616,0,144,0,16.8,44.03,4.35,6.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R15_S10,720,231,710,730,0,80,0,33,92.91,-1,-1,51.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.cemconcomp.2019.05.012
R15_S20,640,252,710,730,0,160,0,33,86.11,-1,-1,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R15_S30,560,273,710,730,0,240,0,33,83.05,-1,-1,55.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R15_F10,720,197,710,730,80,0,0,34,90.61,-1,-1,52.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R15_F20,640,185,710,730,160,0,0,32,102.68,-1,-1,56.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R15_F30,560,172,710,730,240,0,0,30,106.51,-1,-1,56.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R16_F50,275,176,504,900,275,0,0,5.5,25.5,1.98,2.7,-1,-1,-1,-1,200,300,500,497,-1,-1,-1,-1,https://doi.org/10.1016/j.jclepro.2016.06.082
R17_1,160.7,162.1,1090,804,127.4,0,0,7.8,27.41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.conbuildmat.2021.125021
R17_2,212.1,184.2,1057.6,779.3,125.6,0,0,5.7,21.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_3,165,163.8,1005.6,900.9,124.8,0,0,0,26.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_4,190.3,165.3,1079,798.9,124.8,0,0,9.9,26.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_5,250,192.8,948.9,857.2,124.8,0,0,5.3,28.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_6,213.5,159.2,1043.6,771.9,124.8,0,0,11.7,44.61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_7,194.7,171.5,998,901.8,124.8,0,0,7.5,39.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_8,251.4,192.9,1043.6,754.3,124.8,0,0,5.8,36.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_9,310,189.9,936.2,712.2,124.8,0,0,0,40.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_10,307,193.5,968,799.5,124.8,0,0,0,29.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_11,290,192.2,936,755,124.8,0,0,0,46.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_12,295,185.3,1069,769.4,124.8,0,0,0,27.19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_13,238,185.2,1118,789,124.8,0,0,0,16.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_14,302,202.7,974,817,124.8,0,0,0,26.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_15,312.5,182.4,1040,734,124.6,0,0,0,40.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_16,220.9,142.5,896,896,124.8,0,0,0,72.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_17,144,158.2,943,844,124.8,0,0,18,17.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_18,148,158.4,1002,830,124.8,0,0,16,19.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_19,326,199.1,801,792,124.6,0,0,11,39.78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_20,290,220.5,898,713,124.8,0,0,11,9.59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_21,299.8,211.5,878.2,727.6,124.8,0,0,9.9,25.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_22,148.1,159.2,1001.8,830.1,124.6,0,0,16.1,18.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_23,326.5,193.3,801.1,792.5,124.8,0,0,10.8,35.61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_24,276.4,217.4,897.7,712.9,124.8,0,0,11,9.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_25,150.7,164.6,1074.5,687,124.8,0,0,15.6,15.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_26,190.8,185.1,979.5,811,124.8,0,0,11.1,15.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_27,190.9,168.2,991.2,784,124.8,0,0,11.6,18.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_28,188.7,182.4,1023.3,732,124.8,0,0,11.7,20.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_29,298.1,189.4,879,815,124.6,0,0,6.1,41.64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_30,318.9,212.7,860.5,725,124.8,0,0,5.7,36.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_31,355.9,196.3,801.4,769,124.5,0,0,11,36.27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_32,199.8,185.4,849.3,856.5,124.8,0,0,12.6,18.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R17_33,278.7,170.3,925.3,782,124.8,0,0,10.1,41.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_2,425,140,1041,740,50,25,0,12.23,61.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/j.conbuildmat.2022.127082
R18_3,350,140,948,790,100,50,0,14.406,65.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_4,275,140,887,870,150,75,0,14.508,62.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_5,400,160,999,710,100,0,0,9.568,52.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_6,325,160,1101,660,150,25,0,9.784,50.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_7,450,160,876,860,0,50,0,9.668,60.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_8,375,160,948,790,50,75,0,10.89,61.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_9,350,180,937,790,150,0,0,4.858,45.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_10,375,180,876,860,100,25,0,4.874,55.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_11,400,180,1090,660,50,50,0,4.91,54.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_12,425,180,999,710,0,75,0,6.0275,55.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_13,450,200,846,830,50,0,0,3.5925,42.59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_14,475,200,937,780,0,25,0,3.6585,45.47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_15,300,200,988,710,150,50,0,3.6315,40.46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R18_16,325,200,1050,630,100,75,0,4.806,40.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_1,155,194,880,699,143,0,184,9,28.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,https://doi.org/10.1016/S0008-8846(98)00165-3
R19_2,151.8,167.5,944,694.6,138.7,0,178.1,18.3,36.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_3,167,185,898,636,195,0,187,7,23.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_4,132,179,867,736,161,0,207,5,33.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_5,255,189,919,749,77,0,99,6,33.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_6,178,179.9,1007.3,746.8,118.6,0,129.8,3.6,39.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_7,167,164,1007.3,770.1,167,0,75.4,7.9,41.41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_8,149,183,953,780,92,0,118,7,23.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_9,309.9,167.8,913.9,651.2,111.2,0,142.8,22.1,38.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_10,237,247,853,695,71,0,92,6,28.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_11,252,194,835,821,76,0,97,8,33.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_12,397,167,967,633,158,0,17.2,20.8,55.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_13,158.6,175.1,953.3,719.7,116,0,148.9,15,27.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_14,160,182,824,879,122,0,128,6.4,39.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_15,387,157,938,845,94,0,20,13.9,46.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_16,162,202,820,680,164,0,214,10,30.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_17,262,195,895,733,86,0,111,5,33.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_18,218.2,140.8,1075.7,792.7,123.8,0,54.6,11.9,55.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_19,387,157,938,845,94,0,20,11.6,46.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_20,160,203,829,710,146,0,188,11,32.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_21,252.1,193.8,835.5,821.4,75.6,0,97.1,8.3,33.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_22,446,162,967,712,79,0,24,11.6,44.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_23,446,162,967,712,79,0,24,11.6,57.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_24,276,180,870,768,90,0,116,9,44.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_25,359,154,942,801,141,0,19,10.9,59.49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_26,159,201,848,669,161,0,209,7,30.88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_27,136.4,171.6,922.6,764.4,125.8,0,161.6,10.4,29.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_28,184,213,923,623,190,0,86,6,22.93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_29,136,199,847,783,98,0,196,6,26.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_30,144,192,814,805,133,0,170,8,29.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_31,149,192,935,623,194,0,153,8,24.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_32,213.8,181.7,1066,785.5,24.5,0,98.1,6.7,40.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_33,259.9,170.6,935.7,762.9,78.4,0,100.6,10.4,49.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_34,236.9,246.9,852.9,695.4,71.5,0,91.7,6,28.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_35,162,178.8,838.1,741.4,148.1,0,190.1,18.8,33.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_36,277,190.6,946.5,665.6,91,0,116.8,7,43.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_37,143,191,967,643,143,0,169,8,29.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_38,153,178,867,824,113,0,145,8,26.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_39,491,210,882,699,123,0,26,3.9,55.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_40,143.7,191.6,814.1,805.3,132.6,0,170.2,8.5,29.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_41,298,201,878,655,107,0,137,6,53.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_42,173.8,172.3,1007.2,746.6,159.9,0,93.4,9.7,37.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_43,136,172,923,764,126,0,162,10,29.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_44,149,193,892,780,109,0,139,6,23.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_45,172.4,156.8,1006.3,856.4,172.4,0,13.6,4.1,33.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_46,266,178,910,745,87,0,112,10,39.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_47,297.8,201.3,878.4,655.3,106.9,0,137.2,6,53.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_48,168,121.8,1058.7,780.1,163.8,0,42.1,5.7,24.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_49,446,162,967,712,79,0,24,10.3,53.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_50,277,191,946,666,91,0,117,7,43.57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_51,155.2,193.8,879.6,698.5,143.2,0,183.9,9.2,28.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_52,334,189,967,633,158,0,17.6,15.3,44.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_53,261.9,195.4,895.2,732.6,86.1,0,110.5,5,33.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_54,264.5,195.5,832.6,790.4,86.5,0,111,5.9,41.54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_55,162,216,822,638,172,0,207,10,39.84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_56,275,162,830,765,120,0,180,10.4,76.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_57,280,172,825,805,100,0,129,9,52.82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_58,310,168,914,651,111,0,143,22,33.69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_59,446,162,967,712,79,0,24,11.6,51.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_60,261,201,864,761,78,0,100,9,32.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_61,145,184,833,880,119,0,116,5.7,29.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_62,424,168,822,750,132,0,22,8.9,72.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_63,284,179,842,801,141,0,15,5.5,43.73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_64,260,171,936,763,78,0,101,10,49.77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_65,153.1,178.5,1001.9,688.7,113,0,145,8,25.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R19_66,144,178,941,774,106,0,136,7,26.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
